2022-08-03 11:01:03.179 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.IndexingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-03 11:01:03.325 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-03 11:01:03.336 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:174  | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6a370f4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2abf4075, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@770d3326, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4cc8eb05, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@51f116b8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@19d481b, org.springframework.test.context.event.EventPublishingTestExecutionListener@1f97cf0d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@140c9f39, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4d910fd6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7690781, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@77eca502, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3246fb96]
2022-08-03 11:01:03.644 |  INFO | 5616 |            main | com.elasticlab.IndexingTest                :55   | Starting IndexTest using Java 1.8.0_181 on chengzw-2.local with PID 5616 (started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-03 11:01:03.645 |  INFO | 5616 |            main | com.elasticlab.IndexingTest                :640  | The following 1 profile is active: "default"
2022-08-03 11:01:05.055 |  INFO | 5616 |            main | com.elasticlab.IndexingTest                :61   | Started IndexTest in 1.68 seconds (JVM running for 2.34)
2022-08-03 11:01:05.752 |  INFO | 5616 | /O dispatcher 1 | com.elasticlab.ElasticsearchApplication :59   | Indexed successfully {"_id":"sn10002","_index":"products","_primary_term":1,"result":"updated","_seq_no":14,"_shards":{"failed":0.0,"successful":1.0,"total":2.0},"_version":2}
2022-08-03 11:01:26.306 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.IndexingTest], using SpringBootContextLoader
2022-08-03 11:01:26.312 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.IndexingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-03 11:01:26.468 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-03 11:01:26.479 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:174  | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6a370f4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2abf4075, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@770d3326, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4cc8eb05, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@51f116b8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@19d481b, org.springframework.test.context.event.EventPublishingTestExecutionListener@1f97cf0d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@140c9f39, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4d910fd6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7690781, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@77eca502, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3246fb96]
2022-08-03 11:01:26.793 |  INFO | 5630 |            main | com.elasticlab.IndexingTest                :55   | Starting IndexTest using Java 1.8.0_181 on chengzw-2.local with PID 5630 (started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-03 11:01:26.794 |  INFO | 5630 |            main | com.elasticlab.IndexingTest                :640  | The following 1 profile is active: "default"
2022-08-03 11:01:28.197 |  INFO | 5630 |            main | com.elasticlab.IndexingTest                :61   | Started IndexTest in 1.679 seconds (JVM running for 2.379)
2022-08-03 11:01:28.830 |  INFO | 5630 |            main | com.elasticlab.ElasticsearchApplication :45   | Indexed Response {"_id":"sn10001","_index":"products","_primary_term":1,"result":"updated","_seq_no":15,"_shards":{"failed":0.0,"successful":1.0,"total":2.0},"_version":3}
2022-08-03 11:03:07.373 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.IndexingTest], using SpringBootContextLoader
