2022-08-07 11:18:22.079 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.SearchingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-07 11:18:22.220 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-07 11:18:22.231 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:174  | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2abf4075, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@770d3326, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4cc8eb05, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51f116b8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@19d481b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1f97cf0d, org.springframework.test.context.event.EventPublishingTestExecutionListener@140c9f39, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4d910fd6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7690781, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@77eca502, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3246fb96, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2e222612]
2022-08-07 11:18:22.733 |  INFO | 6857 |            main | com.elasticlab.SearchingTest            :55   | Starting SearchingTest using Java 1.8.0_181 on chengzw-2.local with PID 6857 (started by chengzhiwei in /Users/chengzhiwei/Code/github/elastic stack/elastic-lab/5_java_develop/elasticsearch_java_api_client)
2022-08-07 11:18:22.733 |  INFO | 6857 |            main | com.elasticlab.SearchingTest            :634  | No active profile set, falling back to 1 default profile: "default"
2022-08-07 11:18:24.282 |  INFO | 6857 |            main | com.elasticlab.SearchingTest            :61   | Started SearchingTest in 2.012 seconds (JVM running for 2.733)
2022-08-07 11:18:24.716 |  INFO | 6857 |            main | com.elasticlab.ElasticsearchApplication :71   | Product name computer
2022-08-07 11:20:50.907 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:305  | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.elasticlab.SearchingTest], using SpringBootContextLoader
2022-08-07 11:20:50.913 |  INFO |   |            main | o.s.t.c.support.AbstractContextLoader   :264  | Could not detect default resource locations for test class [com.elasticlab.SearchingTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-07 11:20:51.067 |  INFO |   |            main | .b.t.c.SpringBootTestContextBootstrapper:245  | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
